Dev set threshold tuning (quality-first; news: sufficient evidence, top_k >= 5)
Dev tasks: 30  |  Min citation rate: 90%  |  Min top_k (business): 5

top_k  threshold  cite_rate  mean_max   latency_ms   std_ms  
------------------------------------------------------------
2      0.15       100.00%    1.0000     681.39       2431.66 
2      0.2        100.00%    1.0000     204.94       54.41   
2      0.25       100.00%    1.0000     198.07       49.98   
2      0.3        100.00%    1.0000     198.36       49.48   
2      0.35       100.00%    1.0000     202.61       60.44   
2      0.4        100.00%    1.0000     200.24       48.82   
2      0.45       100.00%    1.0000     202.47       49.87   
2      0.5        100.00%    1.0000     198.68       49.15   
3      0.15       100.00%    1.0000     240.36       89.44   
3      0.2        100.00%    1.0000     259.13       183.79  
3      0.25       100.00%    1.0000     225.97       67.00   
3      0.3        100.00%    1.0000     230.51       67.87   
3      0.35       100.00%    1.0000     301.09       310.13  
3      0.4        100.00%    1.0000     264.34       100.70  
3      0.45       100.00%    1.0000     274.82       107.55  
3      0.5        100.00%    1.0000     237.25       72.07   
5      0.15       100.00%    1.0000     482.48       430.34  
5      0.2        100.00%    1.0000     1015.08      606.97  
5      0.25       100.00%    1.0000     716.22       793.14  
5      0.3        100.00%    1.0000     264.33       97.79   
5      0.35       100.00%    1.0000     259.79       90.91   
5      0.4        100.00%    1.0000     265.05       92.14   
5      0.45       100.00%    1.0000     261.30       92.11   
5      0.5        100.00%    1.0000     261.54       89.87   
8      0.15       100.00%    1.0000     381.55       214.74  
8      0.2        100.00%    1.0000     405.48       195.88  
8      0.25       100.00%    1.0000     371.51       180.78  
8      0.3        100.00%    1.0000     323.80       137.08  
8      0.35       100.00%    1.0000     327.43       143.88  
8      0.4        100.00%    1.0000     667.29       621.37  
8      0.45       100.00%    1.0000     458.01       294.77  
8      0.5        100.00%    1.0000     343.08       150.93  
10     0.15       100.00%    1.0000     632.90       575.33  
10     0.2        100.00%    1.0000     509.64       279.53  
10     0.25       100.00%    1.0000     434.76       202.13  
10     0.3        100.00%    1.0000     472.97       233.07  
10     0.35       100.00%    1.0000     398.20       178.92  
10     0.4        100.00%    1.0000     1763.05      1848.10 
10     0.45       100.00%    1.0000     2303.05      2205.57 
10     0.5        100.00%    1.0000     556.10       289.21  
12     0.15       100.00%    1.0000     743.72       523.11  
12     0.2        100.00%    1.0000     2558.79      2250.70 
12     0.25       100.00%    1.0000     689.86       562.78  
12     0.3        100.00%    1.0000     2148.44      1565.47 
12     0.35       100.00%    1.0000     1037.25      1295.73 
12     0.4        100.00%    1.0000     481.88       258.26  
12     0.45       100.00%    1.0000     430.84       188.00  
12     0.5        100.00%    1.0000     459.35       219.31  

Recommended: top_k=12, reranker_threshold=0.45  (quality-first: highest mean_max_reranker_score, top_k>=5 (sufficient evidence for news), among citation_rate>=90%)
  -> citation_rate=100.00%, mean_max_score=1.0000, latency=430.84 ms

Set TOP_K and RERANKER_THRESHOLD in backend/app/core/config.py (or use the recommended values).
